"project_id","project","city","country","category","status","investment_eur","research_question","data_origin"
"DEMO-017","Fictional building retrofit project 17","Lyon","France","Building retrofit","Feasibility study","7700000","What local constraints could affect a hypothetical building retrofit project in Lyon, France?","Synthetic teaching data; not evidence of a real project"
"DEMO-018","Fictional district heating project 18","Lyon","France","District heating","Proposed","9200000","What local constraints could affect a hypothetical district heating project in Lyon, France?","Synthetic teaching data; not evidence of a real project"
"DEMO-019","Fictional solar energy project 19","Turin","Italy","Solar energy","Feasibility study","1800000","What local constraints could affect a hypothetical solar energy project in Turin, Italy?","Synthetic teaching data; not evidence of a real project"
"DEMO-020","Fictional water reuse project 20","Turin","Italy","Water reuse","Proposed","3300000","What local constraints could affect a hypothetical water reuse project in Turin, Italy?","Synthetic teaching data; not evidence of a real project"
"DEMO-021","Fictional electric transit project 21","Turin","Italy","Electric transit","Feasibility study","4800000","What local constraints could affect a hypothetical electric transit project in Turin, Italy?","Synthetic teaching data; not evidence of a real project"
"DEMO-022","Fictional flood protection project 22","Turin","Italy","Flood protection","Proposed","6300000","What local constraints could affect a hypothetical flood protection project in Turin, Italy?","Synthetic teaching data; not evidence of a real project"
"DEMO-023","Fictional building retrofit project 23","Turin","Italy","Building retrofit","Feasibility study","7800000","What local constraints could affect a hypothetical building retrofit project in Turin, Italy?","Synthetic teaching data; not evidence of a real project"
"DEMO-024","Fictional district heating project 24","Turin","Italy","District heating","Proposed","9300000","What local constraints could affect a hypothetical district heating project in Turin, Italy?","Synthetic teaching data; not evidence of a real project"
"DEMO-025","Fictional solar energy project 25","Bremen","Germany","Solar energy","Feasibility study","1900000","What local constraints could affect a hypothetical solar energy project in Bremen, Germany?","Synthetic teaching data; not evidence of a real project"
"DEMO-026","Fictional water reuse project 26","Bremen","Germany","Water reuse","Proposed","3400000","What local constraints could affect a hypothetical water reuse project in Bremen, Germany?","Synthetic teaching data; not evidence of a real project"
"DEMO-027","Fictional electric transit project 27","Bremen","Germany","Electric transit","Feasibility study","4900000","What local constraints could affect a hypothetical electric transit project in Bremen, Germany?","Synthetic teaching data; not evidence of a real project"
"DEMO-028","Fictional flood protection project 28","Bremen","Germany","Flood protection","Proposed","6400000","What local constraints could affect a hypothetical flood protection project in Bremen, Germany?","Synthetic teaching data; not evidence of a real project"
"DEMO-029","Fictional building retrofit project 29","Bremen","Germany","Building retrofit","Feasibility study","7900000","What local constraints could affect a hypothetical building retrofit project in Bremen, Germany?","Synthetic teaching data; not evidence of a real project"
"DEMO-030","Fictional district heating project 30","Bremen","Germany","District heating","Proposed","9400000","What local constraints could affect a hypothetical district heating project in Bremen, Germany?","Synthetic teaching data; not evidence of a real project"
"DEMO-031","Fictional solar energy project 31","Utrecht","Netherlands","Solar energy","Feasibility study","2000000","What local constraints could affect a hypothetical solar energy project in Utrecht, Netherlands?","Synthetic teaching data; not evidence of a real project"
"DEMO-032","Fictional water reuse project 32","Utrecht","Netherlands","Water reuse","Proposed","3500000","What local constraints could affect a hypothetical water reuse project in Utrecht, Netherlands?","Synthetic teaching data; not evidence of a real project"
"DEMO-033","Fictional electric transit project 33","Utrecht","Netherlands","Electric transit","Feasibility study","5000000","What local constraints could affect a hypothetical electric transit project in Utrecht, Netherlands?","Synthetic teaching data; not evidence of a real project"
"DEMO-034","Fictional flood protection project 34","Utrecht","Netherlands","Flood protection","Proposed","6500000","What local constraints could affect a hypothetical flood protection project in Utrecht, Netherlands?","Synthetic teaching data; not evidence of a real project"
"DEMO-035","Fictional building retrofit project 35","Utrecht","Netherlands","Building retrofit","Feasibility study","8000000","What local constraints could affect a hypothetical building retrofit project in Utrecht, Netherlands?","Synthetic teaching data; not evidence of a real project"
"DEMO-036","Fictional district heating project 36","Utrecht","Netherlands","District heating","Proposed","9500000","What local constraints could affect a hypothetical district heating project in Utrecht, Netherlands?","Synthetic teaching data; not evidence of a real project"
"DEMO-037","Fictional solar energy project 37","Ghent","Belgium","Solar energy","Feasibility study","2100000","What local constraints could affect a hypothetical solar energy project in Ghent, Belgium?","Synthetic teaching data; not evidence of a real project"
"DEMO-038","Fictional water reuse project 38","Ghent","Belgium","Water reuse","Proposed","3600000","What local constraints could affect a hypothetical water reuse project in Ghent, Belgium?","Synthetic teaching data; not evidence of a real project"
"DEMO-039","Fictional electric transit project 39","Ghent","Belgium","Electric transit","Feasibility study","5100000","What local constraints could affect a hypothetical electric transit project in Ghent, Belgium?","Synthetic teaching data; not evidence of a real project"
"DEMO-040","Fictional flood protection project 40","Ghent","Belgium","Flood protection","Proposed","6600000","What local constraints could affect a hypothetical flood protection project in Ghent, Belgium?","Synthetic teaching data; not evidence of a real project"
"DEMO-041","Fictional building retrofit project 41","Ghent","Belgium","Building retrofit","Feasibility study","8100000","What local constraints could affect a hypothetical building retrofit project in Ghent, Belgium?","Synthetic teaching data; not evidence of a real project"
"DEMO-042","Fictional district heating project 42","Ghent","Belgium","District heating","Proposed","9600000","What local constraints could affect a hypothetical district heating project in Ghent, Belgium?","Synthetic teaching data; not evidence of a real project"
"DEMO-043","Fictional solar energy project 43","Graz","Austria","Solar energy","Feasibility study","2200000","What local constraints could affect a hypothetical solar energy project in Graz, Austria?","Synthetic teaching data; not evidence of a real project"
"DEMO-044","Fictional water reuse project 44","Graz","Austria","Water reuse","Proposed","3700000","What local constraints could affect a hypothetical water reuse project in Graz, Austria?","Synthetic teaching data; not evidence of a real project"
"DEMO-045","Fictional electric transit project 45","Graz","Austria","Electric transit","Feasibility study","5200000","What local constraints could affect a hypothetical electric transit project in Graz, Austria?","Synthetic teaching data; not evidence of a real project"
"DEMO-046","Fictional flood protection project 46","Graz","Austria","Flood protection","Proposed","6700000","What local constraints could affect a hypothetical flood protection project in Graz, Austria?","Synthetic teaching data; not evidence of a real project"
"DEMO-047","Fictional building retrofit project 47","Graz","Austria","Building retrofit","Feasibility study","8200000","What local constraints could affect a hypothetical building retrofit project in Graz, Austria?","Synthetic teaching data; not evidence of a real project"
"DEMO-048","Fictional district heating project 48","Graz","Austria","District heating","Proposed","9700000","What local constraints could affect a hypothetical district heating project in Graz, Austria?","Synthetic teaching data; not evidence of a real project"
"DEMO-049","Fictional solar energy project 49","Kraków","Poland","Solar energy","Feasibility study","2300000","What local constraints could affect a hypothetical solar energy project in Kraków, Poland?","Synthetic teaching data; not evidence of a real project"
"DEMO-050","Fictional water reuse project 50","Kraków","Poland","Water reuse","Proposed","3800000","What local constraints could affect a hypothetical water reuse project in Kraków, Poland?","Synthetic teaching data; not evidence of a real project"
"DEMO-051","Fictional electric transit project 51","Kraków","Poland","Electric transit","Feasibility study","5300000","What local constraints could affect a hypothetical electric transit project in Kraków, Poland?","Synthetic teaching data; not evidence of a real project"
"DEMO-052","Fictional flood protection project 52","Kraków","Poland","Flood protection","Proposed","6800000","What local constraints could affect a hypothetical flood protection project in Kraków, Poland?","Synthetic teaching data; not evidence of a real project"
"DEMO-053","Fictional building retrofit project 53","Kraków","Poland","Building retrofit","Feasibility study","8300000","What local constraints could affect a hypothetical building retrofit project in Kraków, Poland?","Synthetic teaching data; not evidence of a real project"
"DEMO-054","Fictional district heating project 54","Kraków","Poland","District heating","Proposed","9800000","What local constraints could affect a hypothetical district heating project in Kraków, Poland?","Synthetic teaching data; not evidence of a real project"
"DEMO-055","Fictional solar energy project 55","Brno","Czechia","Solar energy","Feasibility study","2400000","What local constraints could affect a hypothetical solar energy project in Brno, Czechia?","Synthetic teaching data; not evidence of a real project"
"DEMO-056","Fictional water reuse project 56","Brno","Czechia","Water reuse","Proposed","3900000","What local constraints could affect a hypothetical water reuse project in Brno, Czechia?","Synthetic teaching data; not evidence of a real project"
"DEMO-057","Fictional electric transit project 57","Brno","Czechia","Electric transit","Feasibility study","5400000","What local constraints could affect a hypothetical electric transit project in Brno, Czechia?","Synthetic teaching data; not evidence of a real project"
"DEMO-058","Fictional flood protection project 58","Brno","Czechia","Flood protection","Proposed","6900000","What local constraints could affect a hypothetical flood protection project in Brno, Czechia?","Synthetic teaching data; not evidence of a real project"
"DEMO-059","Fictional building retrofit project 59","Brno","Czechia","Building retrofit","Feasibility study","8400000","What local constraints could affect a hypothetical building retrofit project in Brno, Czechia?","Synthetic teaching data; not evidence of a real project"
"DEMO-060","Fictional district heating project 60","Brno","Czechia","District heating","Proposed","9900000","What local constraints could affect a hypothetical district heating project in Brno, Czechia?","Synthetic teaching data; not evidence of a real project"
"DEMO-061","Fictional solar energy project 61","Aarhus","Denmark","Solar energy","Feasibility study","2500000","What local constraints could affect a hypothetical solar energy project in Aarhus, Denmark?","Synthetic teaching data; not evidence of a real project"
"DEMO-062","Fictional water reuse project 62","Aarhus","Denmark","Water reuse","Proposed","4000000","What local constraints could affect a hypothetical water reuse project in Aarhus, Denmark?","Synthetic teaching data; not evidence of a real project"
"DEMO-063","Fictional electric transit project 63","Aarhus","Denmark","Electric transit","Feasibility study","5500000","What local constraints could affect a hypothetical electric transit project in Aarhus, Denmark?","Synthetic teaching data; not evidence of a real project"
"DEMO-064","Fictional flood protection project 64","Aarhus","Denmark","Flood protection","Proposed","7000000","What local constraints could affect a hypothetical flood protection project in Aarhus, Denmark?","Synthetic teaching data; not evidence of a real project"
"DEMO-065","Fictional building retrofit project 65","Aarhus","Denmark","Building retrofit","Feasibility study","8500000","What local constraints could affect a hypothetical building retrofit project in Aarhus, Denmark?","Synthetic teaching data; not evidence of a real project"
"DEMO-066","Fictional district heating project 66","Aarhus","Denmark","District heating","Proposed","10000000","What local constraints could affect a hypothetical district heating project in Aarhus, Denmark?","Synthetic teaching data; not evidence of a real project"
"DEMO-067","Fictional solar energy project 67","Malmö","Sweden","Solar energy","Feasibility study","2600000","What local constraints could affect a hypothetical solar energy project in Malmö, Sweden?","Synthetic teaching data; not evidence of a real project"
"DEMO-068","Fictional water reuse project 68","Malmö","Sweden","Water reuse","Proposed","4100000","What local constraints could affect a hypothetical water reuse project in Malmö, Sweden?","Synthetic teaching data; not evidence of a real project"
"DEMO-069","Fictional electric transit project 69","Malmö","Sweden","Electric transit","Feasibility study","5600000","What local constraints could affect a hypothetical electric transit project in Malmö, Sweden?","Synthetic teaching data; not evidence of a real project"
"DEMO-070","Fictional flood protection project 70","Malmö","Sweden","Flood protection","Proposed","7100000","What local constraints could affect a hypothetical flood protection project in Malmö, Sweden?","Synthetic teaching data; not evidence of a real project"
"DEMO-071","Fictional building retrofit project 71","Malmö","Sweden","Building retrofit","Feasibility study","8600000","What local constraints could affect a hypothetical building retrofit project in Malmö, Sweden?","Synthetic teaching data; not evidence of a real project"
"DEMO-072","Fictional district heating project 72","Malmö","Sweden","District heating","Proposed","10100000","What local constraints could affect a hypothetical district heating project in Malmö, Sweden?","Synthetic teaching data; not evidence of a real project"
"DEMO-073","Fictional solar energy project 73","Tampere","Finland","Solar energy","Feasibility study","2700000","What local constraints could affect a hypothetical solar energy project in Tampere, Finland?","Synthetic teaching data; not evidence of a real project"
"DEMO-074","Fictional water reuse project 74","Tampere","Finland","Water reuse","Proposed","4200000","What local constraints could affect a hypothetical water reuse project in Tampere, Finland?","Synthetic teaching data; not evidence of a real project"
"DEMO-075","Fictional electric transit project 75","Tampere","Finland","Electric transit","Feasibility study","5700000","What local constraints could affect a hypothetical electric transit project in Tampere, Finland?","Synthetic teaching data; not evidence of a real project"
"DEMO-076","Fictional flood protection project 76","Tampere","Finland","Flood protection","Proposed","7200000","What local constraints could affect a hypothetical flood protection project in Tampere, Finland?","Synthetic teaching data; not evidence of a real project"
"DEMO-077","Fictional building retrofit project 77","Tampere","Finland","Building retrofit","Feasibility study","8700000","What local constraints could affect a hypothetical building retrofit project in Tampere, Finland?","Synthetic teaching data; not evidence of a real project"
"DEMO-078","Fictional district heating project 78","Tampere","Finland","District heating","Proposed","10200000","What local constraints could affect a hypothetical district heating project in Tampere, Finland?","Synthetic teaching data; not evidence of a real project"
"DEMO-079","Fictional solar energy project 79","Bergen","Norway","Solar energy","Feasibility study","2800000","What local constraints could affect a hypothetical solar energy project in Bergen, Norway?","Synthetic teaching data; not evidence of a real project"
"DEMO-080","Fictional water reuse project 80","Bergen","Norway","Water reuse","Proposed","4300000","What local constraints could affect a hypothetical water reuse project in Bergen, Norway?","Synthetic teaching data; not evidence of a real project"
"DEMO-081","Fictional electric transit project 81","Bergen","Norway","Electric transit","Feasibility study","5800000","What local constraints could affect a hypothetical electric transit project in Bergen, Norway?","Synthetic teaching data; not evidence of a real project"
"DEMO-082","Fictional flood protection project 82","Bergen","Norway","Flood protection","Proposed","7300000","What local constraints could affect a hypothetical flood protection project in Bergen, Norway?","Synthetic teaching data; not evidence of a real project"
"DEMO-083","Fictional building retrofit project 83","Bergen","Norway","Building retrofit","Feasibility study","8800000","What local constraints could affect a hypothetical building retrofit project in Bergen, Norway?","Synthetic teaching data; not evidence of a real project"
"DEMO-084","Fictional district heating project 84","Bergen","Norway","District heating","Proposed","10300000","What local constraints could affect a hypothetical district heating project in Bergen, Norway?","Synthetic teaching data; not evidence of a real project"
"DEMO-085","Fictional solar energy project 85","Cork","Ireland","Solar energy","Feasibility study","2900000","What local constraints could affect a hypothetical solar energy project in Cork, Ireland?","Synthetic teaching data; not evidence of a real project"
"DEMO-086","Fictional water reuse project 86","Cork","Ireland","Water reuse","Proposed","4400000","What local constraints could affect a hypothetical water reuse project in Cork, Ireland?","Synthetic teaching data; not evidence of a real project"
"DEMO-087","Fictional electric transit project 87","Cork","Ireland","Electric transit","Feasibility study","5900000","What local constraints could affect a hypothetical electric transit project in Cork, Ireland?","Synthetic teaching data; not evidence of a real project"
"DEMO-088","Fictional flood protection project 88","Cork","Ireland","Flood protection","Proposed","7400000","What local constraints could affect a hypothetical flood protection project in Cork, Ireland?","Synthetic teaching data; not evidence of a real project"
"DEMO-089","Fictional building retrofit project 89","Cork","Ireland","Building retrofit","Feasibility study","8900000","What local constraints could affect a hypothetical building retrofit project in Cork, Ireland?","Synthetic teaching data; not evidence of a real project"
"DEMO-090","Fictional district heating project 90","Cork","Ireland","District heating","Proposed","10400000","What local constraints could affect a hypothetical district heating project in Cork, Ireland?","Synthetic teaching data; not evidence of a real project"
"DEMO-091","Fictional solar energy project 91","Bristol","United Kingdom","Solar energy","Feasibility study","3000000","What local constraints could affect a hypothetical solar energy project in Bristol, United Kingdom?","Synthetic teaching data; not evidence of a real project"
"DEMO-092","Fictional water reuse project 92","Bristol","United Kingdom","Water reuse","Proposed","4500000","What local constraints could affect a hypothetical water reuse project in Bristol, United Kingdom?","Synthetic teaching data; not evidence of a real project"
"DEMO-093","Fictional electric transit project 93","Bristol","United Kingdom","Electric transit","Feasibility study","6000000","What local constraints could affect a hypothetical electric transit project in Bristol, United Kingdom?","Synthetic teaching data; not evidence of a real project"
"DEMO-094","Fictional flood protection project 94","Bristol","United Kingdom","Flood protection","Proposed","7500000","What local constraints could affect a hypothetical flood protection project in Bristol, United Kingdom?","Synthetic teaching data; not evidence of a real project"
"DEMO-095","Fictional building retrofit project 95","Bristol","United Kingdom","Building retrofit","Feasibility study","9000000","What local constraints could affect a hypothetical building retrofit project in Bristol, United Kingdom?","Synthetic teaching data; not evidence of a real project"
"DEMO-096","Fictional district heating project 96","Bristol","United Kingdom","District heating","Proposed","10500000","What local constraints could affect a hypothetical district heating project in Bristol, United Kingdom?","Synthetic teaching data; not evidence of a real project"
"DEMO-097","Fictional solar energy project 97","Thessaloniki","Greece","Solar energy","Feasibility study","3100000","What local constraints could affect a hypothetical solar energy project in Thessaloniki, Greece?","Synthetic teaching data; not evidence of a real project"
"DEMO-098","Fictional water reuse project 98","Thessaloniki","Greece","Water reuse","Proposed","4600000","What local constraints could affect a hypothetical water reuse project in Thessaloniki, Greece?","Synthetic teaching data; not evidence of a real project"
"DEMO-099","Fictional electric transit project 99","Thessaloniki","Greece","Electric transit","Feasibility study","6100000","What local constraints could affect a hypothetical electric transit project in Thessaloniki, Greece?","Synthetic teaching data; not evidence of a real project"
"DEMO-100","Fictional flood protection project 100","Thessaloniki","Greece","Flood protection","Proposed","7600000","What local constraints could affect a hypothetical flood protection project in Thessaloniki, Greece?","Synthetic teaching data; not evidence of a real project"
"DEMO-101","Fictional building retrofit project 101","Thessaloniki","Greece","Building retrofit","Feasibility study","9100000","What local constraints could affect a hypothetical building retrofit project in Thessaloniki, Greece?","Synthetic teaching data; not evidence of a real project"
"DEMO-102","Fictional district heating project 102","Thessaloniki","Greece","District heating","Proposed","10600000","What local constraints could affect a hypothetical district heating project in Thessaloniki, Greece?","Synthetic teaching data; not evidence of a real project"
"DEMO-103","Fictional solar energy project 103","Cluj-Napoca","Romania","Solar energy","Feasibility study","3200000","What local constraints could affect a hypothetical solar energy project in Cluj-Napoca, Romania?","Synthetic teaching data; not evidence of a real project"
"DEMO-104","Fictional water reuse project 104","Cluj-Napoca","Romania","Water reuse","Proposed","4700000","What local constraints could affect a hypothetical water reuse project in Cluj-Napoca, Romania?","Synthetic teaching data; not evidence of a real project"
"DEMO-105","Fictional electric transit project 105","Cluj-Napoca","Romania","Electric transit","Feasibility study","6200000","What local constraints could affect a hypothetical electric transit project in Cluj-Napoca, Romania?","Synthetic teaching data; not evidence of a real project"
"DEMO-106","Fictional flood protection project 106","Cluj-Napoca","Romania","Flood protection","Proposed","7700000","What local constraints could affect a hypothetical flood protection project in Cluj-Napoca, Romania?","Synthetic teaching data; not evidence of a real project"
"DEMO-107","Fictional building retrofit project 107","Cluj-Napoca","Romania","Building retrofit","Feasibility study","9200000","What local constraints could affect a hypothetical building retrofit project in Cluj-Napoca, Romania?","Synthetic teaching data; not evidence of a real project"
"DEMO-108","Fictional district heating project 108","Cluj-Napoca","Romania","District heating","Proposed","10700000","What local constraints could affect a hypothetical district heating project in Cluj-Napoca, Romania?","Synthetic teaching data; not evidence of a real project"
"DEMO-109","Fictional solar energy project 109","Split","Croatia","Solar energy","Feasibility study","3300000","What local constraints could affect a hypothetical solar energy project in Split, Croatia?","Synthetic teaching data; not evidence of a real project"
"DEMO-110","Fictional water reuse project 110","Split","Croatia","Water reuse","Proposed","4800000","What local constraints could affect a hypothetical water reuse project in Split, Croatia?","Synthetic teaching data; not evidence of a real project"
"DEMO-111","Fictional electric transit project 111","Split","Croatia","Electric transit","Feasibility study","6300000","What local constraints could affect a hypothetical electric transit project in Split, Croatia?","Synthetic teaching data; not evidence of a real project"
"DEMO-112","Fictional flood protection project 112","Split","Croatia","Flood protection","Proposed","7800000","What local constraints could affect a hypothetical flood protection project in Split, Croatia?","Synthetic teaching data; not evidence of a real project"
"DEMO-113","Fictional building retrofit project 113","Split","Croatia","Building retrofit","Feasibility study","9300000","What local constraints could affect a hypothetical building retrofit project in Split, Croatia?","Synthetic teaching data; not evidence of a real project"
"DEMO-114","Fictional district heating project 114","Split","Croatia","District heating","Proposed","10800000","What local constraints could affect a hypothetical district heating project in Split, Croatia?","Synthetic teaching data; not evidence of a real project"
"DEMO-115","Fictional solar energy project 115","Tartu","Estonia","Solar energy","Feasibility study","3400000","What local constraints could affect a hypothetical solar energy project in Tartu, Estonia?","Synthetic teaching data; not evidence of a real project"
"DEMO-116","Fictional water reuse project 116","Tartu","Estonia","Water reuse","Proposed","4900000","What local constraints could affect a hypothetical water reuse project in Tartu, Estonia?","Synthetic teaching data; not evidence of a real project"
"DEMO-117","Fictional electric transit project 117","Tartu","Estonia","Electric transit","Feasibility study","6400000","What local constraints could affect a hypothetical electric transit project in Tartu, Estonia?","Synthetic teaching data; not evidence of a real project"
"DEMO-118","Fictional flood protection project 118","Tartu","Estonia","Flood protection","Proposed","7900000","What local constraints could affect a hypothetical flood protection project in Tartu, Estonia?","Synthetic teaching data; not evidence of a real project"
"DEMO-119","Fictional building retrofit project 119","Tartu","Estonia","Building retrofit","Feasibility study","9400000","What local constraints could affect a hypothetical building retrofit project in Tartu, Estonia?","Synthetic teaching data; not evidence of a real project"
"DEMO-120","Fictional district heating project 120","Tartu","Estonia","District heating","Proposed","10900000","What local constraints could affect a hypothetical district heating project in Tartu, Estonia?","Synthetic teaching data; not evidence of a real project"
